level,character,meaning,sound
5,曲 ,굽을/가락,곡
4,穀 ,곡식,곡
3,哭,울,곡
3,谷,골,곡
1,梏,수갑,곡
1,鵠,고니/과녁,곡
4,困 ,곤할,곤
3,坤,땅,곤
1,昆,맏/벌레,곤
1,棍,몽둥이,곤
1,袞,곤룡포,곤
4,骨 ,뼈,골
1,汨,빠질,골
7,工 ,만들,공
7,空 ,빌,공
6,功 ,공적,공
6,共 ,함께,공
6,公 ,공평할,공
4,孔 ,구멍,공
4,攻 ,칠,공
3,供,이바지할,공
3,恐,두려울,공
3,貢,바칠,공
3,恭,공손할,공
1,拱,팔짱낄,공
1,鞏,굳을,공
2,串,땅이름/꿸,곶/관
6,科 ,과목,과
6,果 ,열매,과
5,過 ,지날,과
5,課 ,과정,과
3,寡,적을,과
3,誇,자랑할,과
2,戈,창,과
2,瓜,외,과
2,菓,과자,과
1,顆,낟알,과
3,郭,둘레,곽
1,廓,둘레,곽
1,藿,콩잎,곽
1,槨,외관,곽
5,關 ,관계할,관
5,觀 ,볼,관
4,官 ,벼슬,관
4,管 ,대롱/주관할,관
3,冠,갓,관
3,寬,너그러울,관
3,慣,익숙할,관
3,貫,꿸,관
3,館,집,관
2,款,항목/정성,관
2,琯,옥피리,관
1,灌,물댈,관
1,顴,광대뼈,관
1,棺,널,관
1,刮,깎을,괄
1,括,묶을,괄
6,光 ,빛,광
5,廣 ,넓을,광
4,鑛 ,쇳돌,광
3,狂,미칠,광
1,胱,오줌통,광
1,曠,빌/밝을,광
1,匡,바로잡을,광
1,壙,뫼구덩이,광
3,掛,걸,괘
1,罫,선,괘
1,卦,점괘,괘
3,壞,무너질,괴
3,怪,괴이할,괴
3,塊,흙덩이,괴
3,愧,부끄러워할,괴
2,槐,회화나무,괴
2,傀,허수아비,괴
1,魁,우두머리,괴
1,拐,속일,괴
1,乖,어그러질,괴
1,宏,클,굉
1,轟,울릴,굉
1,肱,팔뚝,굉
8,校,학교,교
8,敎,가르칠,교
6,交 ,사귈,교
5,橋 ,다리,교
3,較,견줄,교
3,巧,공교로울,교
3,矯,바로잡을,교
3,郊,들,교
2,僑,더부살이,교
2,膠,아교,교
2,絞,목맬,교
1,皎,달밝을,교
1,喬,높을,교
1,狡,교활할,교
1,咬,새소리,교
1,蛟,교룡,교
1,驕,교만할,교
1,攪,흔들,교
1,轎,가마,교
1,嬌,아리따울,교
8,九,아홉,구
7,口 ,입,구
6,球 ,공,구
6,區 ,구분할,구
5,救 ,구원할,구
5,舊 ,예,구
5,具 ,갖출,구
4,究 ,연구할,구
4,求 ,구할,구
4,構 ,얽을,구
3,丘,언덕,구
3,久,오랠,구
3,拘,잡을,구
3,俱,함께,구
3,狗,개,구
3,懼,두려워할,구
3,苟,진실로/구차할,구
3,驅,몰,구
2,邱,땅이름,구
2,購,살,구
2,鷗,갈매기,구
2,玖,옥돌,구
2,歐,유럽/칠,구
1,鉤,갈고리,구
1,臼,절구,구
1,柩,널,구
1,仇,원수,구
1,軀,몸,구
1,矩,곱자/모날/법도,구
1,枸,구기자,구
1,嘔,토할,구
1,鳩,비둘기,구
1,舅,시아비,구
1,溝,도랑,구
1,嶇,험할,구
1,駒,망아지,구
1,謳,노래할,구
1,灸,뜸,구
1,寇,도적,구
1,廏,마구간,구
1,衢,네거리,구
1,毆,때릴,구
1,垢,때,구
4,句 ,글귀,구/귀
8,國,나라,국
5,局 ,판,국
3,菊,국화,국
2,鞠,공/국문할,국
8,軍,군사,군
6,郡 ,고을,군
4,君 ,임금,군
4,群 ,무리,군
1,窘,막힐,군
4,屈 ,굽힐,굴
2,窟,굴,굴
2,掘,팔,굴
4,宮 ,집,궁
4,窮 ,다할,궁
3,弓,활,궁
1,躬,몸,궁
1,穹,하늘,궁
4,權 ,권리,권
4,卷 ,책,권
4,券 ,문서,권
4,勸 ,권할,권
3,拳,주먹,권
2,圈,우리,권
1,眷,돌볼,권
1,捲,거둘/말,권
1,倦,게으를,권
3,厥,그,궐
2,闕,대궐,궐
1,蹶,넘어질/일어설,궐
3,軌,바퀴자국,궤
1,櫃,상자,궤
1,潰,무너질,궤
1,机,책상,궤
1,詭,속일,궤
1,几,안석,궤
5,貴 ,귀할,귀
4,歸 ,돌아갈,귀
3,鬼,귀신,귀
3,龜,거북/땅이름/터질,귀/구/균
5,規 ,법,규
3,糾,얽을,규
3,叫,부르짖을,규
2,閨,안방,규
2,珪,홀,규
2,揆,헤아릴,규
2,圭,서옥/홀,규
2,奎,별,규
1,葵,해바라기/아욱,규
1,硅,규소,규
1,窺,엿볼,규
1,逵,길거리,규
4,均 ,고를,균
3,菌,버섯/세균,균
1,橘,귤나무,귤
4,極 ,다할,극
4,劇 ,연극/심할,극
3,克,이길,극
1,棘,가시,극
1,戟,창,극
1,剋,이길,극
1,隙,틈,극
6,根 ,뿌리,근
6,近 ,가까울,근
4,筋 ,힘줄,근
4,勤 ,부지런할,근
3,斤,도끼,근
3,僅,겨우,근
3,謹,삼갈,근
2,瑾,아름다운 옥,근
2,槿,무궁화,근
1,覲,뵐,근
1,饉,주릴,근
6,今 ,이제,금
4,禁 ,금할,금
3,錦,비단,금
3,琴,거문고,금
3,禽,새,금
1,衾,이불,금
1,襟,웃깃,금
1,擒,사로잡을,금
8,金,쇠/성씨,금/김
6,級 ,등급,급
6,急 ,급할,급
5,給 ,줄,급
3,及,미칠,급
1,汲,물길을,급
1,扱,미칠,급
3,肯,즐길,긍
2,兢,떨릴,긍
1,矜,자랑할,긍
1,亘,뻗칠/베풀,긍/선
7,記 ,기록할,기
7,氣 ,기운,기
7,旗 ,기,기
5,期 ,기약할,기
5,己 ,몸,기
5,技 ,재주,기
5,基 ,터,기
5,汽 ,김,기
4,器 ,그릇,기
4,起 ,일어날,기
4,機 ,틀,기
4,紀 ,벼리,기
4,寄 ,부칠,기
4,奇 ,기이할,기
3,企,바랄,기
3,其,그,기
3,騎,말 탈,기
3,祈,빌,기
3,畿,경기,기
3,棄,버릴,기
3,幾,몇,기
3,旣,이미,기
3,飢,주릴,기
3,忌,꺼릴,기
3,豈,어찌,기
3,欺,속일,기
2,箕,키,기
2,岐,갈림길,기
2,冀,바랄,기
2,耆,늙을,기
2,琦,옥이름,기
2,琪,아름다운 옥,기
2,淇,물이름,기
2,驥,천리마,기
2,璣,별이름,기
2,沂,물이름,기
2,麒,기린,기
2,騏,준마,기
2,棋,바둑,기
1,杞,구기자,기
1,妓,기생,기
1,綺,비단,기
1,嗜,즐길,기
1,譏,나무랄,기
1,畸,뙈기밭,기
1,伎,재주,기
1,肌,살가죽,기
1,崎,험할,기
1,羈,굴레,기
1,朞,돌,기
3,緊,긴할,긴
5,吉 ,길할,길
1,拮,일할,길
1,喫,마실,끽
3,那,어찌,나
1,懦,나약할,나
1,儺,푸닥거리,나
1,拏,붙잡을,나
1,拿,잡을,나
3,奈,어찌,나/내
3,諾,허락할,낙
4,難 ,어려울,난
4,暖 ,따뜻할,난
1,煖,따뜻할,난
1,捺,누를,날
1,捏,꾸밀,날
8,南,남녘,남
7,男 ,사내,남
4,納 ,들일,납
1,衲,기울,납
3,娘,계집,낭
1,囊,주머니,낭
7,內 ,안,내
3,耐,견딜,내
3,乃,이에,내
8,女 ,여자,녀
8,年 ,해,년
1,撚,비틀,년
1,涅,개흙,녈
5,念 ,생각,념
3,寧,편안할,녕
4,怒 ,성낼,노
4,努 ,힘쓸,노
3,奴,종,노
1,弩,쇠뇌,노
1,駑,둔한말,노
7,農 ,농사,농
2,濃,짙을,농
1,膿,고름,농
3,腦,골,뇌
3,惱,번뇌할,뇌
2,尿,오줌,뇨
1,撓,굽을,뇨
1,訥,말더듬을,눌
1,紐,맺을,뉴
5,能 ,능할,능
3,泥,진흙,니
2,尼,여승,니
2,溺,빠질,닉
1,匿,숨을,닉
6,多 ,많을,다
3,茶,차,다/차
6,短 ,짧을,단
5,團 ,둥글,단
5,壇 ,단,단
4,端 ,끝,단
4,檀 ,박달나무,단
4,斷 ,끊을,단
4,單 ,홑,단
4,段 ,층계,단
3,旦,아침,단
3,但,다만,단
2,鍛,쇠불릴,단
2,湍,여울,단
1,簞,소쿠리,단
1,蛋,새알,단
1,緞,비단,단
3,丹,붉을/정성스러울,단/란
4,達 ,통달할,달
1,疸,황달,달
1,撻,때릴,달
5,談 ,말씀,담
4,擔 ,멜,담
3,淡,맑을,담
2,潭,못,담
2,膽,쓸개,담
1,澹,맑을,담
1,痰,가래,담
1,憺,참담할,담
1,曇,흐릴,담
1,譚,이야기,담
7,答 ,답할,답
3,踏,밟을,답
3,畓,논,답
1,遝,뒤섞일,답
6,堂 ,집,당
5,當 ,마땅,당
4,黨 ,무리,당
3,唐,당나라/당황할,당
2,塘,못,당
1,螳,사마귀,당
1,撞,칠,당
1,棠,아가위,당
3,糖,엿,당/탕
8,大 ,큰,대
6,對 ,대할,대
6,代 ,세대/대신할,대
6,待 ,기다릴,대
4,帶 ,띠,대
4,隊 ,무리,대
3,臺,대,대
3,貸,빌릴,대
2,戴,일,대
2,垈,터,대
1,袋,자루,대
1,擡,들,대
5,宅 ,집,댁/택
5,德 ,덕,덕
2,悳,덕,덕
7,道 ,길,도
6,圖 ,그림,도
5,都 ,도읍,도
5,島 ,섬,도
5,到 ,이를,도
4,導 ,인도할,도
4,徒 ,무리,도
4,盜 ,도둑,도
4,逃 ,달아날,도
3,渡,건널,도
3,途,길,도
3,倒,넘어질,도
3,陶,질그릇,도
3,刀,칼,도
3,桃,복숭아,도
3,塗,칠할,도
3,挑,돋울,도
3,跳,뛸,도
3,稻,벼,도
2,燾,비칠,도
2,悼,슬퍼할,도
1,萄,포도,도
1,滔,물넘칠,도
1,堵,담,도
1,蹈,밟을,도
1,睹,볼,도
1,掉,흔들,도
1,賭,도박,도
1,淘,일,도
1,禱,빌,도
1,屠,죽일,도
1,鍍,도금할,도
1,濤,물결,도
1,搗,찧을,도
6,度 ,"법도,정도/헤아릴",도/탁
5,獨 ,홀로,독
4,督 ,감독할,독
4,毒 ,독,독
3,篤,도타울,독
1,禿,대머리,독
1,瀆,도랑/더럽힐,독
6,讀 ,읽을/구절,독/두
3,豚,돼지,돈
3,敦,도타울,돈
2,惇,도타울,돈
2,頓,조아릴,돈
2,燉,불빛,돈
1,沌,엉길,돈
3,突,부딪힐,돌
2,乭,사람이름,돌
8,東 ,동녘,동
7,冬 ,겨울,동
7,動 ,움직일,동
7,同 ,한가지,동
6,童 ,아이,동
4,銅 ,구리,동
3,凍,얼,동
2,董,바를,동
2,棟,마룻대,동
2,桐,오동나무,동
1,胴,큰창자,동
1,瞳,눈동자,동
1,疼,아플,동
1,憧,동경할,동
7,洞 ,마을/밝을,동/통
6,頭 ,머리,두
4,豆 ,콩,두
4,斗 ,말,두
2,杜,막을,두
1,兜,투구,두
1,痘,천연두,두
3,屯,진칠,둔
3,鈍,둔할,둔
1,遁,숨을,둔
1,臀,볼기,둔
4,得 ,얻을,득
7,登 ,오를,등
6,等 ,무리/같을,등
4,燈 ,등잔,등
3,騰,오를,등
2,鄧,나라이름,등
2,謄,베낄,등
2,藤,등나무,등
1,橙,귤나무/등자나무,등
4,羅 ,벌일/그물,라
2,裸,벗을,라
1,懶,게으를,라
1,癩,나환자,라
1,邏,순라,라
1,螺,소라,라
5,落 ,떨어질,락
3,絡,이을,락
2,洛,물이름,락
1,烙,지질,락
1,駱,낙타,락
1,酪,쇠젖,락
6,樂 ,즐길/음악/좋아할,락/악/요
4,卵 ,알,란
4,亂 ,어지러울,란
3,蘭,난초,란
3,欄,난간,란
2,爛,빛날,란
1,鸞,난새,란
1,瀾,물결,란
1,辣,매울,랄
1,剌,어그러질/발랄할,랄
4,覽 ,볼,람
3,濫,넘칠,람
2,藍,쪽,람
1,籃,대바구니,람
2,拉,끌,랍
1,蠟,밀랍,랍
1,臘,섣달,랍
5,朗 ,밝을,랑
3,廊,행랑,랑
3,郞,사내,랑
3,浪,물결,랑
1,狼,이리,랑
7,來 ,올,래
2,萊,명아주,래
5,冷 ,찰,랭
4,略 ,책략/간략할,략
3,掠,노략질할,략
5,良 ,어질,량
5,量 ,헤아릴,량
4,兩 ,두,량
4,糧 ,양식,량
3,梁,들보,량
3,涼,서늘할,량
3,諒,믿을,량
2,樑,들보,량
2,亮,밝을,량
2,輛,수레,량
1,粱,기장,량
1,倆,재주,량
5,旅 ,나그네,려
4,麗 ,고울,려
4,慮 ,생각할,려
3,勵,힘쓸,려
2,礪,숫돌,려
2,廬,농막집,려
2,呂,성씨/음률,려
1,閭,마을,려
1,黎,검을,려
1,濾,거를,려
1,侶,짝,려
1,戾,어그러질,려
2,驪,검은말,려/리
7,力 ,힘,력
5,歷 ,지낼,력
3,曆,책력,력
1,礫,조약돌,력
1,瀝,스밀,력
5,練 ,익힐,련
4,連 ,잇닿을,련
3,蓮,연꽃,련
3,聯,연이을,련
3,鍊,단련할,련
3,戀,그리워할,련
3,憐,불쌍히여길,련
2,煉,달일,련
2,漣,잔물결,련
1,輦,가마,련
4,列 ,줄,렬
4,烈 ,매울,렬
3,裂,찢을,렬
3,劣,못할,렬
3,廉,청렴할,렴
2,濂,물이름,렴
1,斂,거둘,렴
1,簾,발,렴
1,殮,염할,렴
3,獵,사냥,렵
5,領 ,거느릴,령
5,令 ,명령할/좋을,령
3,靈,신령,령
3,嶺,고개,령
3,零,떨어질,령
2,玲,옥소리,령
1,齡,나이,령
1,鈴,방울,령
1,囹,옥,령
1,逞,쾌할,령
6,禮 ,예도,례
6,例 ,법식,례
3,隷,종,례
2,醴,단술,례
7,老 ,늙을,로
6,路 ,길,로
5,勞 ,일할,로
3,露,이슬,로
3,爐,화로,로
2,魯,노나라,로
2,鷺,해오라기,로
2,盧,성씨,로
2,蘆,갈대,로
1,虜,사로잡을,로
1,擄,노략질할,로
1,撈,건질,로
6,綠 ,푸를,록
4,錄 ,기록할,록
3,祿,녹,록
3,鹿,사슴,록
1,麓,산기슭,록
1,碌,푸른돌,록
4,論 ,논할,론
3,弄,희롱할,롱
2,籠,대바구니,롱
1,聾,귀머거리,롱
1,瓏,옥소리,롱
1,壟,언덕,롱
3,賴,의뢰할,뢰
3,雷,우레,뢰
1,磊,돌무더기,뢰
1,儡,꼭두각시,뢰
1,賂,뇌물,뢰
1,牢,우리,뢰
5,料 ,재료/헤아릴,료
3,了,마칠,료
3,僚,동료,료
2,療,병 고칠,료
2,遼,멀,료
1,寮,벼슬아치,료
1,聊,애오라지,료
1,瞭,밝을,료
1,燎,횃불,료
4,龍 ,용,룡
3,樓,다락,루
3,漏,샐,루
3,淚,눈물,루
3,屢,여러,루
1,陋,더러울,루
1,壘,보루,루
3,累,여러/자주,루'
5,流 ,흐를,류
5,類 ,무리,류
4,留 ,머무를,류
4,柳 ,버들,류
2,謬,그릇될,류
2,劉,죽일,류
2,硫,유황,류
1,溜,낙숫물,류
1,琉,유리,류
1,瘤,혹,류
8,六 ,여섯,륙
5,陸 ,뭍,륙
1,戮,죽일,륙
4,輪 ,바퀴,륜
3,倫,인륜,륜
2,崙,산이름,륜
1,綸,벼리,륜
1,淪,빠질,륜
4,律 ,법,률
3,栗,밤,률
1,慄,떨릴,률
3,率,비율/거느릴,률/솔
3,隆,높을,륭
1,勒,굴레,륵
1,肋,갈빗대,륵
1,凜,찰,름
3,陵,언덕,릉
2,楞,네모질,릉
1,綾,비단,릉
1,凌,능가할/업신여길,릉
1,菱,마름,릉
1,稜,모날,릉
7,里 ,마을,리
6,李 ,오얏,리
6,理 ,다스릴,리
6,利 ,이로울,리
4,離 ,떠날,리
3,履,밟을,리
3,吏,벼슬아치,리
3,裏,속,리
3,梨,배나무,리
1,罹,걸릴,리
1,籬,울타리,리
1,釐,다스릴,리
1,痢,이질,리
1,悧,영리할,리
1,俚,속될,리
1,裡,속,리
3,隣,이웃,린
2,麟,기린,린
1,躪,짓밟을,린
1,鱗,비늘,린
1,吝,아낄,린
1,燐,도깨비불,린
7,林 ,수풀,림
3,臨,임할,림
1,淋,임질/장마,림
7,立 ,설,립
1,笠,삿갓,립
1,粒,낟알,립
5,馬 ,말,마
3,磨,갈,마
3,麻,삼,마
2,痲,저릴,마
2,摩,문지를,마
2,魔,마귀,마
3,幕,장막,막
3,莫,없을,막
3,漠,아득할,막
2,膜,꺼풀,막
1,寞,고요할,막
8,萬 ,일만,만
4,滿 ,찰,만
3,晩,늦을,만
3,慢,거만할,만
3,漫,흩어질,만
2,蠻,오랑캐,만
2,灣,물굽이,만
2,娩,낳을,만
1,蔓,덩굴,만
1,彎,굽을,만
1,輓,끌,만
1,饅,만두,만
1,卍,만자,만
1,挽,당길,만
1,鰻,뱀장어,만
1,瞞,속일,만
5,末 ,끝,말
2,靺,오랑캐이름/버선,말
1,襪,버선,말
1,沫,물거품,말
1,抹,지울,말
5,望 ,바랄,망
5,亡 ,망할,망
3,妄,망령될,망
3,罔,없을/속일/그물,망
3,茫,아득할,망
3,忙,바쁠,망
3,忘,잊을,망
2,網,그물,망
1,惘,멍할,망
1,芒,까끄라기,망
7,每 ,매양,매
5,賣 ,팔,매
5,買 ,살,매
4,妹 ,손아래누이,매
3,梅,매화,매
3,媒,중매,매
3,埋,묻을,매
2,魅,매혹할,매
2,枚,낱,매
1,煤,그을음,매
1,寐,잘,매
1,呆,어리석을,매
1,昧,어두울,매
1,邁,갈,매
1,罵,욕할,매
4,脈 ,줄기,맥
3,麥,보리,맥
2,貊,맥나라,맥
3,猛,사나울,맹
3,孟,맏,맹
3,盟,맹세,맹
3,盲,눈멀,맹
1,萌,싹,맹
2,覓,찾을,멱
7,面 ,낯,면
4,勉 ,힘쓸,면
3,免,면할,면
3,眠,잘,면
3,綿,솜,면
2,沔,물이름,면
2,俛,힘쓸,면
2,冕,면류관,면
1,棉,목화,면
1,緬,가는실,면
1,麪,밀가루,면
1,眄,곁눈질할,면
3,滅,멸할,멸
2,蔑,업신여길,멸
7,名 ,이름,명
7,命 ,목숨,명
6,明 ,밝을,명
4,鳴 ,울,명
3,銘,새길,명
3,冥,어두울,명
1,螟,멸구,명
1,溟,바다,명
1,暝,저물,명
1,酩,술취할,명
1,皿,그릇,명
1,袂,소매,몌
8,母 ,어미,모
4,毛 ,털,모
4,模 ,본뜰,모
3,謀,꾀할,모
3,慕,그리워할,모
3,貌,모양,모
3,侮,업신여길,모
3,冒,무릅쓸,모
3,某,아무,모
3,暮,저물,모
3,募,모을/뽑을,모
2,矛,창,모
2,謨,꾀,모
2,茅,띠,모
2,帽,모자,모
2,牟,보리/성씨,모
1,糢,본뜰,모
1,牡,수컷,모
1,摸,찾을,모
1,耗,줄을,모
8,木 ,나무,목
6,目 ,눈,목
4,牧 ,칠,목
3,睦,화목할,목
2,沐,씻을,목
2,穆,화목할,목
3,沒,빠질,몰
1,歿,죽을,몰
3,夢,꿈,몽
3,蒙,어두울,몽
4,妙 ,묘할,묘
4,墓 ,무덤,묘
3,苗,모,묘
3,廟,사당,묘
3,卯,넷째지지/토끼,묘
2,昴,별이름,묘
1,杳,아득할,묘
1,渺,아득할/물질펀할,묘
1,描,그릴,묘
1,猫,고양이,묘
5,無 ,없을,무
4,武 ,무인,무
4,務 ,힘쓸,무
4,舞 ,춤출,무
3,茂,무성할,무
3,貿,무역할,무
3,戊,다섯째 천간,무
3,霧,안개,무
1,畝,이랑,무
1,巫,무당,무
1,撫,어루만질,무
1,毋,말,무
1,誣,속일,무
1,拇,엄지손가락,무
1,蕪,거칠,무
1,憮,어루만질,무
3,默,잠잠할,묵
3,墨,먹,묵
8,門 ,문,문
7,文 ,글월,문
7,問 ,물을,문
6,聞 ,들을,문
3,紋,무늬,문
2,汶,내이름/더러운 물,문
2,紊,어지러울,문
1,蚊,모기,문
7,物 ,물건,물
3,勿,말,물
6,美 ,아름다울,미
6,米 ,쌀,미
4,未 ,아닐,미
4,味 ,맛,미
3,微,작을,미
3,尾,꼬리,미
3,迷,미혹할,미
3,眉,눈썹,미
2,彌,미륵,미
1,靡,쓰러질,미
1,薇,장미,미
1,媚,아첨할,미
8,民 ,백성,민
3,憫,민망할,민
3,敏,민첩할,민
2,閔,성씨,민
2,旼,화할,민
2,珉,옥돌,민
2,玟,아름다운 돌,민
2,旻,하늘,민
1,悶,답답할,민
4,密 ,빽빽할,밀
3,蜜,꿀,밀
1,謐,고요할,밀
6,朴 ,성씨/순박할,박
4,博 ,넓을,박
4,拍 ,칠,박
3,迫,닥칠,박
3,薄,엷을,박
3,泊,배댈/머무를,박
2,舶,배,박
1,縛,얽을,박
1,樸,순박할,박
1,撲,칠,박
1,箔,발,박
1,粕,지게미,박
1,駁,논박할,박
1,膊,팔뚝,박
1,剝,벗길,박
1,搏,두드릴,박
1,珀,호박,박
6,班 ,나눌,반
6,反 ,돌이킬,반
6,半 ,반,반
3,般,일반,반
3,飯,밥,반
3,盤,소반,반
3,伴,짝,반
3,叛,배반할,반
3,返,돌아올,반
2,搬,옮길,반
2,潘,성씨/뜨물,반
1,礬,백반,반
1,攀,더위잡을,반
1,絆,얽어맬,반
1,拌,버릴,반
1,畔,밭두둑,반
1,槃,쟁반,반
1,蟠,서릴,반
1,斑,아롱질,반
1,頒,나눌,반
2,磻,반계,반/번
6,發 ,필,발
4,髮 ,터럭,발
3,拔,뽑을,발
2,鉢,바리때,발
2,渤,바다이름,발
1,醱,술괼,발
1,潑,물뿌릴,발
1,跋,밟을,발
1,撥,다스릴,발
1,勃,노할,발
1,魃,가물,발
7,方 ,모,방
6,放 ,놓을,방
4,防 ,막을,방
4,房 ,방,방
4,訪 ,찾을,방
4,妨 ,방해할,방
3,芳,꽃다울,방
3,邦,나라,방
3,倣,본뜰,방
3,傍,곁,방
2,龐,높은집,방
2,旁,곁,방
2,紡,길쌈,방
1,謗,헐뜯을,방
1,肪,기름,방
1,坊,동네,방
1,榜,방붙일,방
1,膀,오줌통,방
1,枋,다목,방
1,彷,헤맬,방
1,幇,도울,방
1,尨,삽살개,방
1,昉,밝을,방
5,倍 ,곱,배
4,配 ,짝/나눌,배
4,背 ,등/배반할,배
